% Model,all_readout_test_model_simulations.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 19 2022, 21:05"
% Table,Table 44 - Global Matrix Evaluation 1
% qubit_r (um),Maxwell to mutual:,Maxwell capacitance (fF)
140,43.281769217026415,4.936435061579465
,4.935612143681942,537.720857512407
143.21428571428572,44.54708907905128,5.071368392817199
,5.070526858190468,537.6226164464401
146.42857142857142,45.871520347805436,5.074995226555702
,5.074150370837722,538.5487654958679
149.64285714285714,47.415340828759675,5.117405919259859
,5.116563751553955,539.2865680444511
152.85714285714286,48.877334576396045,5.129528528515403
,5.128685005781949,538.8004412062913
156.07142857142856,50.45970696423419,5.172840068949065
,5.171980131624257,539.3073746019408
159.28571428571428,52.06290913432905,5.370056352857689
,5.369169697950176,539.7241754754843
162.5,53.65926560890672,5.2997599992655005
,5.29888126126989,541.3296049068483
165.71428571428572,55.425993215380714,5.305019703625163
,5.304138123469498,541.4403910610193
168.92857142857144,57.263329964688566,5.470003311533969
,5.469083742038312,542.3314054457786
172.1428571428571,59.212439500902704,5.4697726197684515
,5.46886912233103,540.6330689950985
175.35714285714283,61.34821209482647,5.464176398340774
,5.463271800221089,540.8980375992171
178.57142857142856,63.38513546046531,5.331717585670081
,5.330841621758418,542.306785745073
181.78571428571428,65.5511309537734,5.349470620836661
,5.348591210953085,541.4139567743034
185,68.20945949414772,5.473100567846236
,5.4721964109988726,542.1645767351224
