% Model,all_readout_test_model_simulations.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 20 2022, 09:35"
% Table,Table 44 - Global Matrix Evaluation 1
% readout_port_angle (deg),Maxwell to mutual:,Maxwell capacitance (fF)
5,629.9534743916457,9.02839271346132
,9.02988836439132,84.46047634250992
12.77777777777778,622.9767251758806,11.249081696316605
,11.250905056685554,83.46170398131433
20.555555555555557,627.6363284747122,12.802460888205196
,12.804502410396498,82.58799629158315
28.333333333333336,631.4425643802585,14.424455475983098
,14.426725686169615,81.51496193179695
36.111111111111114,627.4773467576232,15.973891011555706
,15.976353964681987,80.3147764472068
43.888888888888886,632.2142537568678,17.65883480300174
,17.661512688630868,79.23159713820604
51.666666666666664,632.1022477160319,19.298339296383794
,19.301210242656435,78.08529398841635
59.44444444444444,632.7620241168117,20.918128162906772
,20.921192792958752,76.92319213852232
67.22222222222223,639.1881637201254,22.731533557411336
,22.73481655520063,75.7603863573539
75,632.1530153317216,24.37214104244133
,24.37559078137593,74.1798943644772
