% Model,capacitance_and_inductance_2d.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 11 2022, 08:11"
% Table,Table 1 - Global Matrix Evaluation 1
% d,Maxwell to mutual:,Maxwell capacitance (F)
31.5,1.2723087658447313E-13,1.7409415677997194E-15
,1.7409415677997192E-15,1.2724354240081038E-13
32,1.272699091532579E-13,1.705343963631639E-15
,1.7053439636316378E-15,1.2726949486801756E-13
32.5,1.27302249909463E-13,1.6709802132681826E-15
,1.670980213268181E-15,1.2730098537349195E-13
33,1.2733677505265509E-13,1.6376762722454499E-15
,1.637676272245452E-15,1.2733748294630618E-13
33.5,1.273704054752258E-13,1.6052767846499928E-15
,1.6052767846499928E-15,1.2737197165163818E-13
34,1.2740485012554075E-13,1.5737570689502846E-15
,1.5737570689502824E-15,1.2739764050407968E-13
34.5,1.2744054118629187E-13,1.5434260892713598E-15
,1.54342608927136E-15,1.27434668348269E-13
35,1.274611870051576E-13,1.5137866800008483E-15
,1.5137866800008487E-15,1.2746495187983065E-13
35.5,1.27488313034143E-13,1.4848527502479145E-15
,1.4848527502479147E-15,1.2749097041417862E-13
36,1.2751803724648123E-13,1.4568566032485138E-15
,1.4568566032485132E-15,1.2752132501429608E-13
36.5,1.2754442415540057E-13,1.4296016237087082E-15
,1.4296016237087088E-15,1.2754685011661159E-13
37,1.2757035823730666E-13,1.403098717230034E-15
,1.403098717230034E-15,1.275677868216581E-13
37.5,1.2759748911730866E-13,1.377241346632047E-15
,1.3772413466320467E-15,1.2759627736432004E-13
38,1.2762419387106073E-13,1.3522954897750775E-15
,1.352295489775076E-15,1.2762447763455202E-13
38.5,1.2764788815174046E-13,1.3278680959124931E-15
,1.327868095912493E-15,1.276489930710068E-13
39,1.2767188747867107E-13,1.3042136391688483E-15
,1.3042136391688474E-15,1.2767694380194006E-13
39.5,1.2770029099370386E-13,1.2808950882358436E-15
,1.2808950882358444E-15,1.2769470204442078E-13
40,1.2772061085214107E-13,1.2585394180162428E-15
,1.2585394180162425E-15,1.2772050830422167E-13
40.5,1.2774311937385413E-13,1.2365207510102311E-15
,1.2365207510102296E-15,1.2774270955260643E-13
41,1.277642339221055E-13,1.2150282396566614E-15
,1.2150282396566618E-15,1.277590947197616E-13
41.5,1.2779809808350965E-13,1.1944934210747137E-15
,1.1944934210747145E-15,1.2778396901027453E-13
42,1.2780142089018075E-13,1.1740012067412737E-15
,1.1740012067412749E-15,1.2780289279225453E-13
42.5,1.278216969182892E-13,1.1541322541450348E-15
,1.1541322541450346E-15,1.2782469738952499E-13
43,1.2784439013859326E-13,1.1347832170788006E-15
,1.1347832170788016E-15,1.278491513000493E-13
43.5,1.278632168732827E-13,1.1159896037552898E-15
,1.11598960375529E-15,1.2786304891153724E-13
44,1.2788026853909453E-13,1.0976412308108238E-15
,1.0976412308108248E-15,1.278808702200001E-13
44.5,1.2789617989700288E-13,1.0796248251844713E-15
,1.0796248251844719E-15,1.2790068761562718E-13
45,1.2791861316782054E-13,1.0620258590623124E-15
,1.062025859062312E-15,1.279146624659635E-13
45.5,1.2793526546674017E-13,1.0449337427242825E-15
,1.0449337427242831E-15,1.2793330975650094E-13
46,1.2795086346699124E-13,1.0282149499291138E-15
,1.0282149499291142E-15,1.2794847680369146E-13
46.5,1.2796258056014444E-13,1.0118788258531685E-15
,1.0118788258531694E-15,1.279659433572682E-13
47,1.2798078643943568E-13,9.96036091944867E-16
,9.96036091944867E-16,1.279852538513738E-13
