% Model,capacitance_and_inductance_2d.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 10 2022, 22:37"
% Table,Table 1 - Global Matrix Evaluation 1
% d,Maxwell capacitance (F),
1,2.0345264670998002E-14,-2.3799921956193397E-15
,-2.3799921956193385E-15,2.0345268013521827E-14
1.5,2.0411278278135772E-14,-2.190865793663643E-15
,-2.1908657936636436E-15,2.0410983346133505E-14
2,2.0456313863992043E-14,-2.0344566963938637E-15
,-2.034456696393863E-15,2.0456325914770724E-14
2.5,2.0489230083270188E-14,-1.9002697517474327E-15
,-1.900269751747433E-15,2.0488935934189148E-14
3,2.0513968727643268E-14,-1.7827245938167105E-15
,-1.782724593816709E-15,2.0513798900058316E-14
3.5,2.053334367459712E-14,-1.6783851413832192E-15
,-1.6783851413832192E-15,2.053327487534652E-14
4,2.0548818547442132E-14,-1.5847701555307587E-15
,-1.5847701555307581E-15,2.0548804631802854E-14
4.5,2.0561571775833894E-14,-1.5000809259914194E-15
,-1.50008092599142E-15,2.056130479480364E-14
5,2.057148139586757E-14,-1.423020156420259E-15
,-1.4230201564202586E-15,2.0571616070482898E-14
5.5,2.0580459144848906E-14,-1.3526015254249097E-15
,-1.3526015254249103E-15,2.0579904471906673E-14
6,2.0587123426138257E-14,-1.2878451463214831E-15
,-1.2878451463214825E-15,2.058728475545054E-14
6.5,2.0593281342738076E-14,-1.2282029879046085E-15
,-1.2282029879046093E-15,2.0593315350793078E-14
7,2.059887030832455E-14,-1.173011967532252E-15
,-1.1730119675322511E-15,2.0598485815578463E-14
7.5,2.0603062107113423E-14,-1.121739005264685E-15
,-1.121739005264684E-15,2.0603111439308384E-14
8,2.0606828314419977E-14,-1.0741187365587336E-15
,-1.0741187365587334E-15,2.060713331482121E-14
8.5,2.061089826395312E-14,-1.0297230457691196E-15
,-1.02972304576912E-15,2.061060441514572E-14
9,2.061346596773593E-14,-9.881297331952959E-16
,-9.881297331952963E-16,2.0613066681503525E-14
9.5,2.0616061909423698E-14,-9.4921879952941E-16
,-9.492187995294097E-16,2.0615810673790903E-14
10,2.0618549921416E-14,-9.127488105388586E-16
,-9.127488105388582E-16,2.0618122701107903E-14
10.5,2.062048566104354E-14,-8.784103467001763E-16
,-8.784103467001757E-16,2.0620000797672142E-14
11,2.0622818643468197E-14,-8.461301171170875E-16
,-8.461301171170876E-16,2.062213584495172E-14
11.5,2.0623824900949313E-14,-8.156704227263439E-16
,-8.156704227263443E-16,2.062369172284687E-14
12,2.0624972702969464E-14,-7.868531402324371E-16
,-7.868531402324375E-16,2.0625028615248112E-14
12.5,2.0626733634294337E-14,-7.597178907407404E-16
,-7.597178907407401E-16,2.062657504344613E-14
13,2.0627471696911966E-14,-7.339342287828881E-16
,-7.339342287828883E-16,2.0627588784906082E-14
13.5,2.0628863094193784E-14,-7.095925543911533E-16
,-7.095925543911532E-16,2.0628896280635774E-14
14,2.062961764811807E-14,-6.863713121128022E-16
,-6.863713121128026E-16,2.0629408597404413E-14
14.5,2.063037689157337E-14,-6.644089391868473E-16
,-6.644089391868473E-16,2.0630527499941185E-14
15,2.0631119272904237E-14,-6.435149049358837E-16
,-6.435149049358842E-16,2.0631567642284397E-14
15.5,2.0631997472227924E-14,-6.236174436257331E-16
,-6.236174436257324E-16,2.063219486116596E-14
16,2.063293816441222E-14,-6.046370390416965E-16
,-6.046370390416969E-16,2.0632428572628806E-14
16.5,2.063327202875977E-14,-5.865650282179901E-16
,-5.865650282179895E-16,2.0633497942631795E-14
17,2.0633923767409202E-14,-5.692831473988774E-16
,-5.692831473988776E-16,2.0633654862613437E-14
17.5,2.063425357140615E-14,-5.527972517205648E-16
