% Model,R_Q_coupling_sim_Luka_capacitances.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 1 2022, 17:22"
% Table,Table 42 - Global Matrix Evaluation 1
% Q1_D (um),Maxwell to mutual:,Maxwell capacitance (fF)
140,37.50896240937861,8.1361071224721
,8.135403803102946,140.58015929412227
140.99999999999997,37.94853209513156,8.170085937972628
,8.16933551322284,140.37481824070943
141.99999999999997,38.38854590906705,8.187479900116156
,8.186780304340248,140.37595049696586
143,38.83138371469891,8.232803921592428
,8.232152327505231,140.29985587664453
144,39.26659103359592,8.244410762766954
,8.243756734866231,140.33718602631893
145,39.70977015941195,8.285301486018673
,8.284714701782512,140.4223715773077
146,40.174772185801785,8.299914239092127
,8.299242292961354,140.39164038184194
147,40.63434331461892,8.331678838567074
,8.331031536577791,140.18109872418378
148,41.10883209460573,8.353094602228866
,8.352455788438435,140.1222526302108
149,41.588243275722604,8.385035765081891
,8.384424229533945,140.42183499262646
150,42.072662911170426,8.403278132435657
,8.402652363023387,140.37115441708562
150.99999999999997,42.55748014181563,8.427830996610597
,8.427221201193015,140.50869534130123
151.99999999999997,43.047968630196976,8.443934914045766
,8.443295965065046,140.13490813431977
153,43.5641263496971,8.478022595963083
,8.47743205448099,140.2588551157723
154,44.08454274053203,8.486247658064348
,8.485642075260795,140.47341048465572
155,44.623004687375364,8.516744487971375
,8.516141018657063,140.09664620416135
156,45.132487939871176,8.547560014560005
,8.547023361141184,140.15274315853958
157,45.68158668083529,8.566294808336785
,8.565634867661272,140.1207492478308
158,46.23124304092476,8.58820366181308
,8.587580580247932,139.98993373909565
159,46.782975933677676,8.592808181938645
,8.592243878827404,139.98403640110342
160,47.354215069587866,8.628667580623741
,8.628088476884622,139.9387118970326
160.99999999999997,47.97108699413617,8.64742088699935
,8.646856342086743,140.09022628234456
161.99999999999997,48.545008406011114,8.662436618343024
,8.661879118928942,139.95562650203942
163,49.160818492498166,8.677014516712617
,8.676486025884557,140.0027183710709
164,49.781133603867666,8.681850316660666
,8.681323989298022,139.9967999425548
165,50.41631570561654,8.718778691201026
,8.718279626930261,139.97611760543853
166,51.06214907882352,8.718445708255995
,8.717936154233005,139.91185912991494
167,51.74493168430045,8.741673817916505
,8.741141111610032,139.91009582013268
168,52.45773181663628,8.743708339997472
,8.743216178738312,139.99694344301486
169,53.14300457730622,8.762251247549111
,8.76174559849059,139.97179320164705
169.99999999999997,53.89521700109291,8.795230098403705
,8.79468268486967,139.8841179879492
