% Model,R_Q_coupling_sim_Luka_capacitances.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 5 2022, 11:56"
% Table,Table 42 - Global Matrix Evaluation 1
% res_inner_pad_deformation (um),Maxwell to mutual:,Maxwell capacitance (fF)
10,54.59555891409507,5.984859421889381
,5.984860338398103,88.17013337283957
15.555555555555555,54.27369648637331,6.526663168990157
,6.526665207714454,87.20190131243719
21.11111111111111,54.03788986552903,7.085321966376263
,7.08531554875893,86.64543763416445
26.666666666666664,53.8671349845374,7.637962200284158
,7.637956496542934,86.1837428290749
32.22222222222222,53.77602682162387,8.147298090799069
,8.147281533856326,86.00326804152628
37.77777777777778,53.71007371008086,8.55324915794124
,8.55325044851967,85.74215588498205
43.33333333333333,53.705344264804985,8.841819502547267
,8.841821694258146,85.57228248582253
48.888888888888886,53.69680623232729,9.066176672792023
,9.06618351110256,85.57759686055194
54.444444444444436,53.70322444908929,9.243718264905684
,9.243726083600945,85.41653213674483
59.99999999999999,53.710568647543056,9.434419219611971
,9.434429943225986,85.28260046383858
